PRODUCTCODE,PRODUCTNAME,PRODUCTLINE,PRODUCTSCALE,PRODUCTVENDOR,PRODUCTDESCRIPTION,QUANTITYINSTOCK,BUYPRICE,MSRP,CREATE_TIMESTAMP,UPDATE_TIMESTAMP
S12_2823,2002 Suzuki XREO,Motorcycles,1:12,Unimax Art Galleries,"Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",9797,74.89,146.1,2005-06-09 12:00:00,2005-06-10 10:00:25
S24_4258,1936 Chrysler Airflow,Vintage Cars,1:24,Second Gear Diecast,"Features opening trunk,  working steering system. Color dark green.",4510,64.93,94.47,2005-06-09 12:00:00,2005-06-10 04:05:48
S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,1:32,Classic Metal Creations,"Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos",2674,29.36,52.49,2005-06-09 12:00:00,2005-06-10 06:02:47
S700_3505,The Titanic,Ships,1:700,Carousel DieCast Legends,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.",1756,57.73,97.16,2005-06-09 12:00:00,2005-06-10 04:15:04
N0610-7976,productName-6625,Motorcycles,1:10,Highway 66 Mini Classics,productDescription-6625,8825,75.89,142.73,2005-06-10 11:18:55,2005-06-10 11:18:55
N0610-4093,productName-3619,Classic Cars,1:12,Second Gear Diecast,productDescription-3619,5819,105.15,249.36,2005-06-10 07:30:59,2005-06-10 07:30:59
N0610-2742,productName-4357,Motorcycles,1:18,Welly Diecast Productions,productDescription-4357,6557,26.65,72.68,2005-06-10 03:59:19,2005-06-10 03:59:19
N0610-4456,productName-9127,Classic Cars,1:18,Gearbox Collectibles,productDescription-9127,11327,80.84,176.39,2005-06-10 02:06:51,2005-06-10 02:06:51
N0610-8741,productName-5545,Classic Cars,1:18,Min Lin Diecast,productDescription-5545,7745,101.11,172.34,2005-06-10 00:04:35,2005-06-10 00:04:35
N0610-3621,productName-6553,Vintage Cars,1:18,Exoto Designs,productDescription-6553,8753,47.59,110.44,2005-06-10 08:41:34,2005-06-10 08:41:34
N0610-6079,productName-7003,Motorcycles,1:24,Autoart Studio Design,productDescription-7003,9203,66.95,135.24,2005-06-10 04:36:42,2005-06-10 04:36:42
N0610-8145,productName-7723,Classic Cars,1:24,Second Gear Diecast,productDescription-7723,9923,17.86,45.31,2005-06-10 11:41:27,2005-06-10 11:41:27
